Team, Conf, AjdEM, AdjO, AdjD, AdjT, Luck, SOS_AdjEM, SOS_OppO, SOS_OppD, NCSOS_AdjEM
Gonzaga,WCC,+30.95,120.7,89.7,72.5,-.039,+4.24,104.6,100.3,-2.88
Houston,Amer,+27.70,116.8,89.1,63.6,-.012,+5.89,105.5,99.6,+0.18
Kansas,B12,+27.49,119.2,91.7,69.3,+.041,+12.60,108.0,95.4,+4.13
Baylor,B12,+27.04,118.0,91.0,67.4,+.004,+10.96,107.4,96.5,-1.89
Arizona,P12,+25.96,118.6,92.6,72.2,+.048,+6.45,105.9,99.5,-0.78
Kentucky,SEC,+25.72,120.0,94.3,67.5,-.043,+8.88,106.5,97.6,-2.72
Texas Tech,B12,+25.64,110.7,85.0,66.5,-.031,+10.98,107.8,96.8,-8.24
Duke,ACC,+25.15,121.1,95.9,67.3,-.010,+8.22,107.8,99.6,-4.58
Tennessee,SEC,+25.10,111.5,86.4,67.4,+.029,+11.39,108.5,97.1,+4.85
Villanova,BE,+24.56,117.5,92.9,62.3,+.060,+11.46,109.1,97.6,+8.65
UCLA,P12,+24.26,115.9,91.7,65.2,-.029,+8.50,107.2,98.7,+3.67
Auburn,SEC,+23.20,112.7,89.5,70.1,-.021,+8.35,106.9,98.6,+3.70
Iowa,B10,+22.72,120.5,97.8,69.7,-.061,+7.31,107.1,99.8,-6.82
Purdue,B10,+22.36,121.0,98.6,66.1,+.022,+8.81,108.0,99.2,-3.54
Texas,B12,+20.88,112.5,91.6,63.8,-.043,+10.68,107.7,97.0,-8.15
North Carolina,ACC,+20.13,114.4,94.3,70.2,+.072,+9.90,109.0,99.1,+3.79
Saint Mary's,WCC,+19.53,110.1,90.6,63.6,+.039,+6.89,106.8,99.9,+3.31
Arkansas,SEC,+19.46,109.9,90.4,70.7,+.038,+9.08,107.5,98.4,-2.78
Virginia Tech,ACC,+18.86,115.0,96.1,63.3,-.062,+7.88,107.4,99.5,-0.53
Illinois,B10,+18.75,112.0,93.3,67.2,+.033,+10.44,109.0,98.6,+1.39
LSU,SEC,+18.65,107.3,88.7,68.6,-.052,+9.10,107.2,98.1,-1.21
Connecticut,BE,+18.55,113.8,95.3,64.8,-.038,+7.39,105.7,98.3,-3.58
San Francisco,WCC,+17.38,110.5,93.1,68.9,-.042,+5.18,105.5,100.3,+2.23
Memphis,Amer,+17.23,111.2,94.0,69.9,-.028,+7.43,106.4,99.0,+4.46
San Diego St.,MWC,+17.07,103.4,86.3,65.4,-.003,+5.95,105.5,99.6,+2.56
TCU,B12,+17.02,108.7,91.7,65.9,+.014,+11.74,108.0,96.2,-5.00
