Date,Away_Team,Away_Score,Home_Team,Home_Score
2021-10-16,Utah St.,83,SMU,81
2021-10-20,Nova Southeastern,95,Miami (FL),106
2021-10-21,Stonehill,71,Providence,95
2021-10-22,Saint Augustine's,48,Campbell,75
2021-10-23,Louisiana Tech,99,SMU,109
2021-10-23,Hillsdale,68,Toledo,93
2021-10-23,Western Caro.,66,Col. of Charleston,85
2021-10-23,LSU,74,Nicholls,62
2021-10-23,UAlbany,,Saint Joseph's,
2021-10-23,Drexel,73,Penn,89
2021-10-23,St. Francis (IL),34,Illinois,101
2021-10-24,Louisiana,68,Alabama,73
2021-10-24,Georgia,65,Charlotte,76
2021-10-24,LeMoyne-Owen,57,Memphis,105
2021-10-26,Rockhurst,42,Saint Louis,84
2021-10-27,Ferris St.,58,Michigan St.,92
2021-10-27,Trevecca Nazarene,55,Tennessee St.,76
2021-10-27,Ill. Springfield,80,Western Ill.,92
2021-10-27,Colo. Sch. of Mines,48,Colorado,78
2021-10-27,Pace,60,Syracuse,79
2021-10-28,Tiffin,87,Bellarmine,90
2021-10-28,Berea,63,Tennessee Tech,104
2021-10-29,Indiana (PA),79,Illinois,94
2021-10-29,Wis.-Whitewater,50,Wisconsin,76
2021-10-29,St. Norbert,0,Green Bay,0
2021-10-29,Ky. Wesleyan,72,Kentucky,95
2021-10-29,Nazareth,37,Notre Dame,87
2021-10-29,Kentucky St.,45,Louisville,94
2021-10-30,Upper Iowa,61,Creighton,76
2021-10-30,Mt. St. Joseph,45,Evansville,74
2021-10-30,Toledo,83,Findlay,78
2021-10-30,MSOE,63,Milwaukee,69
2021-10-30,Tiffin,84,Butler,94
2021-10-30,Saint Michael's,60,Vermont,105
2021-10-30,Cal State LA,56,UC Riverside,90
2021-10-30,Lenoir-Rhyne,62,Tennessee,103
2021-10-30,East Stroudsburg,83,Penn,91
2021-10-30,Western N.M.,59,Grand Canyon,85
2021-10-30,Ashland,87,Valparaiso,78
2021-10-30,Pepperdine,50,Point Loma,77
2021-10-31,Davis & Elkins,72,Marshall,113
2021-10-31,Adams St.,55,Colorado St.,92
