Team_away, Conf_away, AjdEM_away, AdjO_away, AdjD_away, AdjT_away, Luck_away, SOS_AdjEM_away, SOS_OppO_away, SOS_OppD_away, NCSOS_AdjEM_away,Team_home, Conf_home, AjdEM_home, AdjO_home, AdjD_home, AdjT_home, Luck_home, SOS_AdjEM_home, SOS_OppO_home, SOS_OppD_home, NCSOS_AdjEM_home,Date,Away_Team,Away_Score,Home_Team,Home_Score,Spread,Total
Gonzaga,WCC,30.95,120.7,89.7,72.5,-0.039,4.24,104.6,100.3,-2.88,Duke,ACC,25.15,121.1,95.9,67.3,-0.01,8.22,107.8,99.6,-4.58,2021-11-26,Gonzaga,81.0,Duke,84.0,-3.0,165.0
Gonzaga,WCC,30.95,120.7,89.7,72.5,-0.039,4.24,104.6,100.3,-2.88,UCLA,P12,24.26,115.9,91.7,65.2,-0.029,8.5,107.2,98.7,3.67,2021-11-23,Gonzaga,83.0,UCLA,63.0,20.0,146.0
Gonzaga,WCC,30.95,120.7,89.7,72.5,-0.039,4.24,104.6,100.3,-2.88,Saint Mary's,WCC,19.53,110.1,90.6,63.6,0.039,6.89,106.8,99.9,3.31,2022-02-26,Gonzaga,57.0,Saint Mary's,67.0,-10.0,124.0
Gonzaga,WCC,30.95,120.7,89.7,72.5,-0.039,4.24,104.6,100.3,-2.88,San Francisco,WCC,17.38,110.5,93.1,68.9,-0.042,5.18,105.5,100.3,2.23,2022-02-24,Gonzaga,89.0,San Francisco,73.0,16.0,162.0
Gonzaga,WCC,30.95,120.7,89.7,72.5,-0.039,4.24,104.6,100.3,-2.88,BYU,WCC,12.94,110.1,97.2,68.0,0.026,5.01,105.0,100.0,5.74,2022-02-05,Gonzaga,90.0,BYU,57.0,33.0,147.0
Gonzaga,WCC,30.95,120.7,89.7,72.5,-0.039,4.24,104.6,100.3,-2.88,Santa Clara,WCC,10.83,111.8,101.0,70.8,-0.014,2.35,103.0,100.6,-1.82,2022-01-15,Gonzaga,115.0,Santa Clara,83.0,32.0,198.0
Gonzaga,WCC,30.95,120.7,89.7,72.5,-0.039,4.24,104.6,100.3,-2.88,San Diego,WCC,-5.01,96.3,101.3,65.6,0.09,0.96,103.2,102.3,-3.22,2022-02-03,Gonzaga,92.0,San Diego,62.0,30.0,154.0
Gonzaga,WCC,30.95,120.7,89.7,72.5,-0.039,4.24,104.6,100.3,-2.88,Pepperdine,WCC,-9.7,97.4,107.1,69.9,-0.023,3.31,104.1,100.8,-0.66,2022-02-16,Gonzaga,86.0,Pepperdine,66.0,20.0,152.0
Gonzaga,WCC,30.95,120.7,89.7,72.5,-0.039,4.24,104.6,100.3,-2.88,Central Michigan,MAC,-13.77,96.2,110.0,67.5,-0.001,-1.74,103.4,105.1,2.93,2021-11-22,Gonzaga,107.0,Central Michigan,54.0,53.0,161.0
Houston,Amer,27.7,116.8,89.1,63.6,-0.012,5.89,105.5,99.6,0.18,Memphis,Amer,17.23,111.2,94.0,69.9,-0.028,7.43,106.4,99.0,4.46,2022-03-06,Houston,61.0,Memphis,75.0,-14.0,136.0
Houston,Amer,27.7,116.8,89.1,63.6,-0.012,5.89,105.5,99.6,0.18,Alabama,SEC,16.57,115.2,98.6,71.9,-0.022,12.58,109.4,96.9,10.15,2021-12-11,Houston,82.0,Alabama,83.0,-1.0,165.0
Houston,Amer,27.7,116.8,89.1,63.6,-0.012,5.89,105.5,99.6,0.18,SMU,Amer,12.59,108.9,96.3,68.4,0.048,3.12,104.1,101.0,-2.73,2022-02-09,Houston,83.0,SMU,85.0,-2.0,168.0
Houston,Amer,27.7,116.8,89.1,63.6,-0.012,5.89,105.5,99.6,0.18,Oregon,P12,10.33,110.0,99.6,67.9,0.014,7.47,106.3,98.8,3.17,2021-11-24,Houston,78.0,Oregon,49.0,29.0,127.0
Houston,Amer,27.7,116.8,89.1,63.6,-0.012,5.89,105.5,99.6,0.18,Wichita St.,Amer,8.11,104.0,95.9,66.9,-0.037,4.61,104.6,100.0,1.68,2022-02-20,Houston,76.0,Wichita St.,74.0,2.0,150.0
Houston,Amer,27.7,116.8,89.1,63.6,-0.012,5.89,105.5,99.6,0.18,Tulane,Amer,7.79,108.8,101.0,68.0,-0.067,4.65,104.2,99.6,-2.0,2022-02-23,Houston,81.0,Tulane,67.0,14.0,148.0
Houston,Amer,27.7,116.8,89.1,63.6,-0.012,5.89,105.5,99.6,0.18,Cincinnati,Amer,7.24,104.6,97.3,67.6,-0.051,2.81,103.3,100.5,-5.61,2022-02-06,Houston,80.0,Cincinnati,58.0,22.0,138.0
Houston,Amer,27.7,116.8,89.1,63.6,-0.012,5.89,105.5,99.6,0.18,Cincinnati,Amer,7.24,104.6,97.3,67.6,-0.051,2.81,103.3,100.5,-5.61,2022-02-06,Houston,80.0,Cincinnati,58.0,22.0,138.0
Houston,Amer,27.7,116.8,89.1,63.6,-0.012,5.89,105.5,99.6,0.18,UCF,Amer,6.27,106.6,100.3,67.4,0.054,3.68,103.4,99.7,-3.64,2022-01-29,Houston,63.0,UCF,49.0,14.0,112.0
Houston,Amer,27.7,116.8,89.1,63.6,-0.012,5.89,105.5,99.6,0.18,Temple,Amer,4.48,102.1,97.7,66.3,0.083,3.71,103.9,100.2,-1.69,2022-01-02,Houston,66.0,Temple,61.0,5.0,127.0
Houston,Amer,27.7,116.8,89.1,63.6,-0.012,5.89,105.5,99.6,0.18,Tulsa,Amer,-0.27,103.6,103.9,66.5,-0.066,2.79,103.5,100.7,-6.08,2022-01-15,Houston,66.0,Tulsa,64.0,2.0,130.0
Houston,Amer,27.7,116.8,89.1,63.6,-0.012,5.89,105.5,99.6,0.18,South Florida,Amer,-6.83,90.9,97.7,65.0,-0.015,3.92,104.1,100.2,-3.53,2022-01-05,Houston,83.0,South Florida,66.0,17.0,149.0
Kansas,B12,27.49,119.2,91.7,69.3,0.041,12.6,108.0,95.4,4.13,Baylor,B12,27.04,118.0,91.0,67.4,0.004,10.96,107.4,96.5,-1.89,2022-02-26,Kansas,70.0,Baylor,80.0,-10.0,150.0
Kansas,B12,27.49,119.2,91.7,69.3,0.041,12.6,108.0,95.4,4.13,Texas Tech,B12,25.64,110.7,85.0,66.5,-0.031,10.98,107.8,96.8,-8.24,2022-01-08,Kansas,67.0,Texas Tech,75.0,-8.0,142.0
Kansas,B12,27.49,119.2,91.7,69.3,0.041,12.6,108.0,95.4,4.13,Texas,B12,20.88,112.5,91.6,63.8,-0.043,10.68,107.7,97.0,-8.15,2022-02-07,Kansas,76.0,Texas,79.0,-3.0,155.0
Kansas,B12,27.49,119.2,91.7,69.3,0.041,12.6,108.0,95.4,4.13,TCU,B12,17.02,108.7,91.7,65.9,0.014,11.74,108.0,96.2,-5.0,2022-03-01,Kansas,64.0,TCU,74.0,-10.0,138.0
Kansas,B12,27.49,119.2,91.7,69.3,0.041,12.6,108.0,95.4,4.13,Oklahoma,B12,16.48,111.0,94.6,65.1,-0.054,11.73,107.5,95.8,-2.04,2022-01-18,Kansas,67.0,Oklahoma,64.0,3.0,131.0
Kansas,B12,27.49,119.2,91.7,69.3,0.041,12.6,108.0,95.4,4.13,Oklahoma St.,B12,15.6,103.8,88.2,67.6,-0.074,11.8,108.2,96.4,0.26,2022-01-04,Kansas,74.0,Oklahoma St.,63.0,11.0,137.0
Kansas,B12,27.49,119.2,91.7,69.3,0.041,12.6,108.0,95.4,4.13,Michigan St.,B10,14.76,111.9,97.1,67.5,0.052,10.93,109.4,98.5,3.91,2021-11-09,Kansas,87.0,Michigan St.,74.0,13.0,161.0
Kansas,B12,27.49,119.2,91.7,69.3,0.041,12.6,108.0,95.4,4.13,Iowa St.,B12,14.63,103.1,88.5,66.3,0.049,11.25,108.1,96.9,-6.84,2022-02-01,Kansas,70.0,Iowa St.,61.0,9.0,131.0
Kansas,B12,27.49,119.2,91.7,69.3,0.041,12.6,108.0,95.4,4.13,St. John's,BE,13.07,110.3,97.2,73.6,-0.101,6.71,105.8,99.1,-7.17,2021-12-03,Kansas,95.0,St. John's,75.0,20.0,170.0
Kansas,B12,27.49,119.2,91.7,69.3,0.041,12.6,108.0,95.4,4.13,Kansas St.,B12,12.6,109.6,97.0,66.6,-0.092,11.66,107.3,95.7,-4.37,2022-01-22,Kansas,78.0,Kansas St.,75.0,3.0,153.0
Kansas,B12,27.49,119.2,91.7,69.3,0.041,12.6,108.0,95.4,4.13,West Virginia,B12,11.76,108.3,96.6,68.0,-0.001,12.52,108.4,95.9,-0.37,2022-02-19,Kansas,71.0,West Virginia,58.0,13.0,129.0
