Date,Away_Team,Away_Score,Home_Team,Home_Score
2021-10-16,Utah St.,83.0,SMU,81.0
2021-10-20,Nova Southeastern,95.0,Miami FL,106.0
2021-10-21,Stonehill,71.0,Providence,95.0
2021-10-22,Saint Augustine's,48.0,Campbell,75.0
2021-10-23,Louisiana Tech,99.0,SMU,109.0
2021-10-23,Hillsdale,68.0,Toledo,93.0
2021-10-23,Western Carolina,66.0,Charleston,85.0
2021-10-23,LSU,74.0,Nicholls,62.0
2021-10-23,UAlbany,,Saint Joseph's,
2021-10-23,Drexel,73.0,Penn,89.0
2021-10-23,St. Francis (IL),34.0,Illinois,101.0
2021-10-24,Louisiana,68.0,Alabama,73.0
2021-10-24,Georgia,65.0,Charlotte,76.0
2021-10-24,LeMoyne-Owen,57.0,Memphis,105.0
2021-10-26,Rockhurst,42.0,Saint Louis,84.0
2021-10-27,Ferris St.,58.0,Michigan St.,92.0
2021-10-27,Trevecca Nazarene,55.0,Tennessee St.,76.0
2021-10-27,Ill. Springfield,80.0,Western Illinois,92.0
2021-10-27,Colo. Sch. of Mines,48.0,Colorado,78.0
2021-10-27,Pace,60.0,Syracuse,79.0
2021-10-28,Tiffin,87.0,Bellarmine,90.0
2021-10-28,Berea,63.0,Tennessee Tech,104.0
2021-10-29,Indiana (PA),79.0,Illinois,94.0
2021-10-29,Wis.-Whitewater,50.0,Wisconsin,76.0
2021-10-29,St. Norbert,0.0,Green Bay,0.0
2021-10-29,Ky. Wesleyan,72.0,Kentucky,95.0
2021-10-29,Nazareth,37.0,Notre Dame,87.0
2021-10-29,Kentucky St.,45.0,Louisville,94.0
2021-10-30,Upper Iowa,61.0,Creighton,76.0
2021-10-30,Mt. St. Joseph,45.0,Evansville,74.0
2021-10-30,Toledo,83.0,Findlay,78.0
2021-10-30,MSOE,63.0,Milwaukee,69.0
2021-10-30,Tiffin,84.0,Butler,94.0
2021-10-30,Saint Michael's,60.0,Vermont,105.0
2021-10-30,Cal State LA,56.0,UC Riverside,90.0
2021-10-30,Lenoir-Rhyne,62.0,Tennessee,103.0
2021-10-30,East Stroudsburg,83.0,Penn,91.0
2021-10-30,Western N.M.,59.0,Grand Canyon,85.0
2021-10-30,Ashland,87.0,Valparaiso,78.0
2021-10-30,Pepperdine,50.0,Point Loma,77.0
2021-10-31,Davis & Elkins,72.0,Marshall,113.0
2021-10-31,Adams St.,55.0,Colorado St.,92.0
2021-10-31,Morehouse,52.0,Georgia Tech,89.0
2021-10-31,Lane,49.0,Memphis,88.0
2021-10-31,Lindenwood,66.0,Saint Louis,89.0
2021-11-01,Embry-Riddle (FL),57.0,Florida,80.0
2021-11-01,Texas Lutheran,33.0,Texas,96.0
2021-11-01,Rogers St.,57.0,Oklahoma,106.0
2021-11-01,AUM,70.0,UAB,101.0
2021-11-01,Xavier (LA),45.0,Alcorn St.,67.0
2021-11-01,St. Katherine,41.0,Arizona St.,108.0
2021-11-01,Hood,51.0,George Washington,93.0
2021-11-01,East. Mennonite,60.0,Radford,83.0
2021-11-01,Ga. Southwestern,51.0,Clemson,77.0
2021-11-01,Voorhees,42.0,South Florida,92.0
2021-11-01,Johns Hopkins,49.0,Loyola MD,60.0
2021-11-01,Lynn,54.0,Florida Atlantic,69.0
2021-11-01,Elizabeth City St.,68.0,N.C. State,87.0
2021-11-01,Camp. Harrodsburg,62.0,Western Carolina,106.0
2021-11-01,Virginia St.,55.0,VCU,74.0
2021-11-01,Cazenovia,55.0,Niagara,95.0
2021-11-01,Cedarville,60.0,Dayton,94.0
2021-11-01,Mo. Southern St.,58.0,Wichita St.,90.0
2021-11-01,Le Moyne,50.0,Syracuse,90.0
2021-11-01,UIndy,46.0,Ohio St.,82.0
2021-11-01,New Jersey City,66.0,Saint Peter's,90.0
2021-11-01,Minot St.,54.0,North Dakota St.,85.0
2021-11-01,Mayville St.,64.0,North Dakota,68.0
2021-11-01,Blue Mountain (MS),66.0,Arkansas St.,72.0
2021-11-01,Concordia-St. Paul,67.0,Minnesota,80.0
2021-11-01,Tex. A&M-Kingsville,72.0,Texas A&M,76.0
2021-11-01,Southeastern Okla.,64.0,UT Arlington,68.0
2021-11-01,Campbellsville,61.0,Western Kentucky,82.0
2021-11-01,Cal State LA,58.0,California,92.0
2021-11-01,Eastern N.M.,50.0,Arizona,96.0
2021-11-01,Lewis & Clark,67.0,Portland,93.0
2021-11-01,Dominican (CA),55.0,Nevada,90.0
2021-11-02,Monmouth (IL),34.0,Western Illinois,88.0
2021-11-02,Cent. Christian Bib.,50.0,Tarleton St.,73.0
2021-11-03,Anderson (IN),60.0,IUPUI,74.0
2021-11-03,Grand Valley St.,67.0,Central Michigan,78.0
2021-11-03,Ga. Southwestern,63.0,Jacksonville St.,82.0
2021-11-03,Ferrum,56.0,Davidson,98.0
2021-11-03,West Ga.,51.0,Louisville,103.0
2021-11-03,Fort Valley St.,61.0,Mercer,93.0
2021-11-03,Emporia St.,60.0,Kansas,86.0
2021-11-03,UT Tyler,72.0,UT Rio Grande Valley,101.0
2021-11-03,Northeastern St.,53.0,Tulsa,84.0
2021-11-03,Yellowstone Chris.,42.0,Montana St.,116.0
2021-11-03,Cal State LA,70.0,Cal Poly,87.0
2021-11-03,St. Katherine,44.0,San Diego St.,65.0
2021-11-03,Stanislaus St.,48.0,Fresno St.,86.0
2021-11-04,Misericordia,48.0,Seton Hall,110.0
2021-11-04,Mount Olive,70.0,High Point,95.0
2021-11-04,UIndy,64.0,Purdue,86.0
2021-11-04,Benedict,76.0,South Carolina,101.0
2021-11-04,Grand Valley St.,60.0,Michigan St.,83.0
2021-11-04,Francis Marion,72.0,UNC Wilmington,101.0
2021-11-04,Fairmont St.,89.0,Bowling Green,91.0
2021-11-04,Lake Erie,64.0,Northern Kentucky,75.0
2021-11-04,USciences,54.0,Saint Joseph's,83.0
2021-11-04,Alfred,54.0,St. Bonaventure,95.0
2021-11-04,Wooster,60.0,Chattanooga,94.0
2021-11-04,Rose-Hulman,60.0,Indiana St.,82.0
2021-11-04,Flagler,70.0,Valparaiso,67.0
2021-11-04,Ky. Wesleyan,64.0,Evansville,74.0
2021-11-04,JWU (Providence),56.0,Rhode Island,109.0
2021-11-04,Capital,44.0,Miami OH,69.0
2021-11-04,Rutgers-Newark,61.0,Fairleigh Dickinson,86.0
2021-11-04,Medaille,54.0,Buffalo,105.0
2021-11-04,Mississippi Col.,50.0,Louisiana Tech,86.0
2021-11-04,Life (GA),63.0,Austin Peay,92.0
2021-11-04,Delta St.,60.0,Southern Miss,68.0
2021-11-04,St. Edward's,71.0,Rice,85.0
2021-11-04,Westminster (UT),51.0,Utah,87.0
2021-11-04,Davenport,59.0,Illinois St.,85.0
2021-11-04,IIT,59.0,Illinois Chicago,76.0
2021-11-04,Quincy,62.0,SIU Edwardsville,61.0
2021-11-04,Drury,49.0,Drake,96.0
2021-11-04,Simpson,47.0,South Dakota,98.0
2021-11-04,Lindenwood,40.0,Northwestern,85.0
2021-11-04,Pittsburg St.,59.0,Kansas St.,78.0
2021-11-04,Mobile,47.0,Alabama St.,72.0
2021-11-04,Bowie St.,40.0,Marquette,98.0
2021-11-04,Bethel (TN),58.0,Tennessee Martin,87.0
2021-11-04,Montevallo,63.0,DePaul,67.0
2021-11-04,Concordia-St. Paul,74.0,Weber St.,101.0
2021-11-04,Colo. Christian,45.0,BYU,63.0
2021-11-04,Yellowstone Chris.,68.0,Idaho,108.0
2021-11-04,Chico St.,61.0,UCLA,100.0
2021-11-04,Saint Martin's,80.0,Oregon St.,83.0
2021-11-04,Central Wash.,50.0,Washington,83.0
2021-11-04,Simpson (CA),65.0,Sacramento St.,85.0
2021-11-05,N.M. Highlands,72.0,New Mexico,101.0
2021-11-05,Catawba,58.0,East Tennessee St.,91.0
2021-11-05,Trevecca Nazarene,76.0,Mississippi,83.0
2021-11-05,Goshen,66.0,Eastern Michigan,94.0
2021-11-05,Michigan,87.0,Wayne St. (MI),54.0
2021-11-05,Lake Superior St.,81.0,Oakland,91.0
2021-11-05,Ferris St.,59.0,Xavier,100.0
2021-11-05,UIndy,68.0,Butler,73.0
2021-11-05,St. Norbert,44.0,Notre Dame,78.0
2021-11-05,Miles,71.0,Kentucky,80.0
2021-11-05,Clayton St.,56.0,Georgia St.,101.0
2021-11-05,Morehouse,49.0,Georgia,64.0
2021-11-05,Fayetteville St.,40.0,Maryland,89.0
2021-11-05,Elizabeth City St.,55.0,North Carolina,83.0
2021-11-05,Cumberlands (KY),59.0,Western Kentucky,88.0
2021-11-05,Central Okla.,68.0,Oklahoma St.,76.0
2021-11-05,Southern Ind.,54.0,Auburn,68.0
2021-11-05,Slippery Rock,47.0,Iowa,99.0
2021-11-05,Biola,65.0,Long Beach St.,82.0
2021-11-05,Lewis-Clark St.,62.0,Gonzaga,112.0
2021-11-05,Cal St. Dom. Hills,59.0,UC Irvine,84.0
2021-11-05,Cal St. East Bay,56.0,San Jose St.,60.0
2021-11-05,UC San Diego,44.0,Loyola Marymount,57.0
2021-11-06,Kalamazoo,47.0,Western Michigan,77.0
2021-11-06,Capital,66.0,Ohio,92.0
2021-11-06,Virginia-Lynchburg,56.0,Delaware St.,83.0
2021-11-06,St. Anselm,72.0,Vermont,94.0
2021-11-06,Montana Tech,51.0,Houston,78.0
2021-11-06,Loyola (LA),80.0,New Orleans,72.0
2021-11-06,Kutztown,76.0,Rider,78.0
2021-11-06,San Diego Christian,68.0,Cal St. Bakersfield,100.0
2021-11-07,Pikeville,59.0,Marshall,86.0
2021-11-09,Manhattanville,42.0,Manhattan,99.0
2021-11-09,Alcorn St.,67.0,Washington St.,85.0
2021-11-09,Mount St. Mary's,51.0,Villanova,91.0
2021-11-09,Bethune-Cookman,54.0,South Florida,75.0
2021-11-09,UC San Diego,80.0,California,67.0
2021-11-09,Bob Jones,79.0,Wofford,117.0
2021-11-09,Eastern Michigan,62.0,Indiana,68.0
2021-11-09,Brescia,59.0,Middle Tennessee,98.0
2021-11-09,Akron,66.0,Ohio St.,67.0
2021-11-09,Mary Baldwin,78.0,Winthrop,110.0
2021-11-09,Saint Peter's,54.0,VCU,57.0
2021-11-09,Southern Illinois,66.0,Little Rock,69.0
2021-11-09,St. Mary's (MD),55.0,Morgan St.,118.0
2021-11-09,Central Connecticut,48.0,Connecticut,99.0
2021-11-09,Emory & Henry,72.0,Radford,84.0
2021-11-09,IUPUI,47.0,Butler,56.0
2021-11-09,North Carolina A&T,53.0,UNC Greensboro,57.0
2021-11-09,Stony Brook,52.0,George Mason,74.0
2021-11-09,Trinity Baptist,43.0,Jacksonville,79.0
2021-11-09,Appalachian St.,53.0,Iona,65.0
2021-11-09,St. Joseph's (ME),53.0,New Hampshire,98.0
2021-11-09,Oakland,53.0,West Virginia,60.0
2021-11-09,Regis (MA),51.0,Holy Cross,98.0
2021-11-09,Rutgers-Camden,28.0,Princeton,94.0
2021-11-09,Fairfield,73.0,Providence,80.0
2021-11-09,Rivier,55.0,UMass Lowell,91.0
2021-11-09,N.C. Central,60.0,Richmond,70.0
2021-11-09,Presbyterian,53.0,Clemson,64.0
2021-11-09,Lake Erie,53.0,Wright St.,86.0
2021-11-09,Salve Regina,59.0,Brown,89.0
2021-11-09,Siena,47.0,St. Bonaventure,75.0
2021-11-09,Vassar,42.0,Yale,88.0
2021-11-09,Evansville,43.0,Cincinnati,65.0
2021-11-09,Hartford,59.0,Wagner,77.0
2021-11-09,Georgetown (KY),63.0,Eastern Kentucky,93.0
2021-11-09,Cairn,41.0,Delaware St.,80.0
2021-11-09,Quinnipiac,69.0,Maryland,83.0
2021-11-09,Mid-Atlantic Christ.,51.0,Hampton,101.0
2021-11-09,SUNY New Paltz,52.0,Army,83.0
2021-11-09,JWU (Charlotte),71.0,Charleston Southern,118.0
2021-11-09,Rider,61.0,Duquesne,73.0
2021-11-09,South Carolina St.,62.0,East Carolina,70.0
2021-11-09,Morehouse,70.0,Harvard,86.0
2021-11-09,North Greenville,66.0,Furman,118.0
2021-11-09,Illinois Chicago,54.0,Dayton,64.0
2021-11-09,Monmouth,66.0,Charlotte,68.0
2021-11-09,The Citadel,78.0,Pittsburgh,63.0
2021-11-09,Bellarmine,67.0,Purdue,96.0
2021-11-09,Emerson,48.0,Merrimack,77.0
2021-11-09,Loyola MD,67.0,North Carolina,83.0
2021-11-09,Ball St.,71.0,Georgia Southern,82.0
2021-11-09,Towson,77.0,UAlbany,56.0
2021-11-09,Boston University,62.0,Rhode Island,71.0
2021-11-09,Northeastern,58.0,Colgate,65.0
2021-11-09,Lafayette,63.0,Syracuse,97.0
2021-11-09,FIU,51.0,Georgia,58.0
2021-11-09,Portland,60.0,Arizona St.,76.0
2021-11-09,Brewton-Parker,37.0,Georgia St.,97.0
2021-11-09,Tennessee Martin,62.0,Tennessee,90.0
2021-11-09,Belmont,80.0,Ohio,92.0
2021-11-09,Dist. Columbia,59.0,Howard,87.0
2021-11-09,Toledo,69.0,Valparaiso,61.0
2021-11-09,Texas Southern,66.0,Oregon,83.0
2021-11-09,Kansas,87.0,Michigan St.,74.0
2021-11-09,USC Upstate,60.0,South Carolina,78.0
2021-11-09,Wheeling,54.0,Northern Kentucky,82.0
2021-11-09,Delaware,71.0,Davidson,93.0
2021-11-09,Carlow,55.0,VMI,111.0
2021-11-09,Texas St.,75.0,Incarnate Word,57.0
2021-11-09,William Peace,50.0,Campbell,85.0
2021-11-09,Earlham,54.0,Purdue Fort Wayne,103.0
2021-11-09,Niagara,60.0,Xavier,63.0
2021-11-09,Fla. Memorial,67.0,Stetson,74.0
2021-11-09,Fla. National,57.0,Florida Gulf Coast,94.0
2021-11-09,Ferrum,73.0,Coastal Carolina,101.0
2021-11-09,Cornell,76.0,Binghamton,69.0
2021-11-09,UNC Asheville,77.0,UAB,102.0
2021-11-09,LSU-Alexandria,73.0,Stephen F. Austin,82.0
2021-11-09,UMBC,60.0,Massachusetts,77.0
2021-11-09,Bowling Green,71.0,Western Carolina,79.0
2021-11-09,Canisius,67.0,Miami FL,77.0
2021-11-09,Miami OH,72.0,Georgia Tech,69.0
2021-11-09,New Orleans,61.0,Mississippi,82.0
2021-11-09,Fisher,54.0,Bryant,122.0
2021-11-09,Mississippi Valley St.,61.0,St. John's,119.0
2021-11-09,Cumberland (TN),77.0,Murray St.,109.0
2021-11-09,McNeese St.,62.0,SMU,86.0
2021-11-09,Arkansas Pine Bluff,77.0,Creighton,90.0
2021-11-09,Pepperdine,63.0,Rice,82.0
2021-11-09,Kennesaw St.,73.0,Iowa St.,84.0
2021-11-09,Concordia-M'head,44.0,North Dakota St.,88.0
2021-11-09,Hastings,57.0,Nebraska Omaha,67.0
2021-11-09,Texas Lutheran,64.0,Texas A&M Corpus Chris,102.0
2021-11-09,Morehead St.,54.0,Auburn,77.0
2021-11-09,Louisiana Monroe,39.0,LSU,101.0
2021-11-09,Tex. A&M Int'l,59.0,UT Rio Grande Valley,74.0
2021-11-09,Indiana St.,81.0,Green Bay,77.0
2021-11-09,Neumann,74.0,Drexel,103.0
